 TIME, RATES AND OIL PRESSURES
   TIME   PL      P( 1)   P( 2)   P( 3)   P( 4)   P( 5)   P( 6)   P( 7)   P( 8)   P( 9)   P(10)   PR
      X=    5.00   15.00   25.00   35.00   45.00   55.00   65.00   75.00   85.00   95.00
    0.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00
    2.50  209.57  209.58  208.35  207.20  206.11  205.08  204.10  203.15  202.23  201.33  200.44  200.00
    5.00  211.94  211.80  210.47  209.18  207.91  206.66  205.43  204.21  203.00  201.79  200.60  200.00
    7.50  212.71  212.43  211.04  209.72  208.41  207.10  205.80  204.51  203.22  201.93  200.64  200.00
   10.00  213.04  212.62  211.20  209.87  208.55  207.22  205.91  204.59  203.28  201.96  200.65  200.00
   12.50  213.27  212.70  211.24  209.91  208.58  207.26  205.93  204.61  203.29  201.97  200.66  200.00
   15.00  213.41  212.75  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   17.50  213.55  212.80  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   20.00  213.72  212.88  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   22.50  213.90  212.96  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   25.00  214.14  213.09  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   27.50  214.42  213.23  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   30.00  214.74  213.41  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   32.50  215.12  213.61  211.25  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   35.00  215.26  213.70  211.26  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   37.50  215.27  213.71  211.27  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   40.00  215.30  213.73  211.28  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   42.50  215.41  213.81  211.29  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   45.00  215.53  213.90  211.30  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   47.50  215.66  214.00  211.31  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   50.00  215.74  214.07  211.33  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   52.50  215.82  214.15  211.35  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   55.00  215.91  214.23  211.37  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   57.50  215.99  214.31  211.40  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   60.00  216.06  214.38  211.43  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   62.50  216.05  214.40  211.46  209.93  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   65.00  215.99  214.39  211.51  209.93  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   67.50  215.95  214.39  211.57  209.93  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   70.00  215.94  214.41  211.64  209.93  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   72.50  215.96  214.47  211.73  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   75.00  216.02  214.55  211.84  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   77.50  216.10  214.65  211.97  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   80.00  216.20  214.78  212.12  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   82.50  216.34  214.94  212.30  209.92  208.58  207.26  205.94  204.61  203.29  201.98  200.66  200.00
   85.00  216.37  214.99  212.37  209.93  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   87.50  216.36  214.99  212.38  209.95  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   90.00  216.38  215.01  212.39  209.95  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   92.50  216.43  215.06  212.44  209.96  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   95.00  216.50  215.14  212.52  209.97  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   97.50  216.59  215.22  212.60  209.98  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  100.00  216.68  215.31  212.69  209.99  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  102.50  216.75  215.39  212.77  210.01  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  105.00  216.82  215.46  212.84  210.03  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  107.50  216.89  215.53  212.91  210.05  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  110.00  216.95  215.59  212.98  210.08  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  112.50  217.02  215.66  213.05  210.11  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  115.00  217.08  215.73  213.12  210.14  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  117.50  217.16  215.81  213.20  210.19  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  120.00  217.19  215.84  213.22  210.25  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  122.50  217.21  215.86  213.25  210.32  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  125.00  217.26  215.91  213.30  210.41  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  127.50  217.33  215.98  213.37  210.51  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  130.00  217.42  216.07  213.46  210.63  208.59  207.26  205.94  204.61  203.29  201.98  200.66  200.00
  132.50  217.53  216.18  213.58  210.77  208.59  207.26  205.93  204.61  203.29  201.97  200.66  200.00
  135.00  217.66  216.32  213.71  210.94  208.59  207.26  205.93  204.61  203.29  201.97  200.66  200.00
  137.50  217.74  216.40  213.79  211.03  208.60  207.26  205.94  204.62  203.29  201.98  200.66  200.00
  140.00  217.74  216.40  213.80  211.05  208.62  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  142.50  217.74  216.39  213.79  211.06  208.62  207.27  205.95  204.62  203.30  201.98  200.66  200.00
  145.00  217.75  216.40  213.81  211.09  208.63  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  147.50  217.80  216.45  213.85  211.16  208.64  207.27  205.94  204.62  203.30  201.98  200.66  200.00
  150.00  217.85  216.51  213.92  211.23  208.65  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  152.50  217.92  216.58  213.99  211.32  208.66  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  155.00  218.01  216.66  214.07  211.41  208.67  207.26  205.94  204.62  203.29  201.98  200.66  200.00
  157.50  218.08  216.73  214.14  211.48  208.69  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  160.00  218.15  216.81  214.21  211.55  208.71  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  162.50  218.21  216.87  214.27  211.61  208.74  207.26  205.94  204.62  203.30  201.98  200.66  200.00
  165.00  218.28  216.93  214.33  211.67  208.77  207.26  205.94  204.62  203.30  201.98  200.66  200.00
