 TIME AND WATER SATURATIONS
   TIME   SW( 1)  SW( 2)  SW( 3)  SW( 4)  SW( 5)  SW( 6)  SW( 7)  SW( 8)  SW( 9)  SW(10)
      X=    5.00   15.00   25.00   35.00   45.00   55.00   65.00   75.00   85.00   95.00
    0.00  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
    2.50  0.2248  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000
    5.00  0.2497  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
    7.50  0.2746  0.1999  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   10.00  0.2995  0.2000  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   12.50  0.3243  0.2002  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   15.00  0.3489  0.2005  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   17.50  0.3735  0.2010  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   20.00  0.3978  0.2016  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   22.50  0.4219  0.2025  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   25.00  0.4457  0.2037  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   27.50  0.4692  0.2052  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   30.00  0.4921  0.2072  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   32.50  0.5145  0.2098  0.1999  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   35.00  0.5352  0.2140  0.1999  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   37.50  0.5540  0.2203  0.1999  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   40.00  0.5708  0.2284  0.1999  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   42.50  0.5856  0.2386  0.2000  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   45.00  0.5986  0.2505  0.2000  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   47.50  0.6099  0.2640  0.2001  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   50.00  0.6203  0.2785  0.2002  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
