 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    2.50  209.57  -25.00  200.00   11.19    0.00    0.00
    5.00  211.94  -25.00  200.00   15.13    0.00    0.00
    7.50  212.71  -25.00  200.00   16.26    0.00    0.00
   10.00  213.04  -25.00  200.00   16.57    0.00    0.00
   12.50  213.27  -25.00  200.00   16.65    0.00    0.00
   15.00  213.41  -25.00  200.00   16.67    0.00    0.00
   17.50  213.55  -25.00  200.00   16.68    0.00    0.00
   20.00  213.72  -25.00  200.00   16.68    0.00    0.00
   22.50  213.90  -25.00  200.00   16.68    0.00    0.00
   25.00  214.14  -25.00  200.00   16.68    0.00    0.00
   27.50  214.42  -25.00  200.00   16.67    0.00    0.00
   30.00  214.74  -25.00  200.00   16.67    0.00    0.00
   32.50  215.12  -25.00  200.00   16.67    0.00    0.00
   35.00  215.26  -25.00  200.00   16.68    0.00    0.00
   37.50  215.27  -25.00  200.00   16.68    0.00    0.00
   40.00  215.30  -25.00  200.00   16.69    0.00    0.00
   42.50  215.41  -25.00  200.00   16.68    0.00    0.00
   45.00  215.53  -25.00  200.00   16.68    0.00    0.00
   47.50  215.66  -25.00  200.00   16.68    0.00    0.00
   50.00  215.74  -25.00  200.00   16.68    0.00    0.00
   52.50  215.82  -25.00  200.00   16.68    0.00    0.00
   55.00  215.91  -25.00  200.00   16.68    0.00    0.00
   57.50  215.99  -25.00  200.00   16.68    0.00    0.00
   60.00  216.06  -25.00  200.00   16.68    0.00    0.00
   62.50  216.05  -25.00  200.00   16.68    0.00    0.00
   65.00  215.99  -25.00  200.00   16.68    0.00    0.00
   67.50  215.95  -25.00  200.00   16.68    0.00    0.00
   70.00  215.94  -25.00  200.00   16.68    0.00    0.00
   72.50  215.96  -25.00  200.00   16.67    0.00    0.00
   75.00  216.02  -25.00  200.00   16.67    0.00    0.00
   77.50  216.10  -25.00  200.00   16.67    0.00    0.00
   80.00  216.20  -25.00  200.00   16.66    0.00    0.00
   82.50  216.34  -25.00  200.00   16.66    0.00    0.00
   85.00  216.37  -25.00  200.00   16.67    0.00    0.00
   87.50  216.36  -25.00  200.00   16.68    0.00    0.00
   90.00  216.38  -25.00  200.00   16.68    0.00    0.00
   92.50  216.43  -25.00  200.00   16.68    0.00    0.00
